0.0  	        0
91.38  2 	2 
299.43 3 	4 
614.37 5 	6 
860.25 3 	2 
946.40 5 	3 
1024.59 7 	8 
1058.48 8 	4 
1197.46 6 	5 
1246.04 5 	0 
1314.56 4 	2 
1358.68 12 	6 
1386.73 4 	1  
1416.56 5 	0 
1433.97 5 	3  
1469.7  3 	4 
1483.70 4 	2 
1494.8  5 	0
1507.6  10 	0
1518.06 11 	10 
1545.06 10 	7 
1555.3  3 	5   
1568.67 14 	3   
1577.83 6 	1  
1610.3  3 	4   
1631.5  5 	0
1640.2  5 	0
1664.18 7 	5   
1683.39 9 	5  
1702.1  5 	0
1702.20 4 	0 
1706.6  5 	6  	
1715.5  3 	0
1726.1  10      0
1741.6  3 	0
1744.48 6 	6   
1744.84 12 	8 
1763.8  4 	7   
1765.86 4 	0 
1788.35 6 	2 
1798.4  4 	5   
1806    1 	0
1813.9  2 	6   
1833.41 4 	2 
1841.7  4 	0  
1845.49 7 	7  
1861.5  2 	1  
1875.2  1 	1
1911.26 7 	2 
1929    1 	0
1953.92 6 	2 
1960.5  3 	0
1964.29 12 	8   
1969.6  6 	2  
1977.12 9 	9  
1984.98 6 	7  
2002.6  4 	2 
2005.4  4 	8 
2018.0  10 	0
2022.50 8 	0
2025.77 6 	2  
2032.1  2 	0
2035.4  2 	1
2046    2 	0
2054.6  10 	9   
2068.9  6 	8  
2069.4  2 	0
2082.1  5 	0
2082.79 13 	12 
2090.96 11 	8   
2093.6  1 	0
2108.54 11 	9   
2144    1 	0
2151    1 	0
2163.5  1 	8   
2168.2  3 	0	
2173.06 5 	0 
2184.26 12 	10  
2240.2  6   	0
2254.64 12 	0
2261.23 13 	10   
2278.33 6 	2 
2279    1 	0
2337	   3    0
2337.3  1 	9   
2356    2 	0
2363.20 13 	9   
2370.5  3 	0
2404    1 	1
2408.2  2 	11   
2416    1 	1
2421.09 12 	10   
2444.51 6 	2  
2448.1  5 	0
2462.7  2 	10 
2470    1 	0
2479.44 11 	11  
2483    2 	0
2519.2  3 	12  
2541.0  2 	0
2577    1 	1
2583.3  2      10   
2592    1 	0
2631.19 15 	12   
2640    1 	1
2702.56 15 	14 
2733.3  5 	12  
2747    1 	1
2762    1 	1
2800.41 15 	12   
2815.2  2 	13  
2822.1  3 	11   
2823.3  3 	0
2874.8  2 	14  
2933    1 	1
   2966    1 	1
   3018    1 	1
   3027.2  5    13  
   3028.8  2 	0
   3066.6  4 	14   
   3078.9  5 	12   
   3133    1 	1
   3179    1 	1
   3220    1  	1
   3244.3  3 	14   
   3263.1  2 	16 
   3267.0  6 	14  
   3281.0  2    15   
   3302.9  3 	 5   
   3351.8  5    13   
   3376.1  11 	12  
   3408.1  3 	0
   3411.2  4 	16  
   3458    1 	1
   3518.6  6 	15  
   3534.60 7 	2  
   3541    1 	1
   3544.1  13   13  
   3551    1 	1
   3559.6  5    16   
   3602    1 	1
   3629.65 10 	2 
   3733.1  13 	14  
   3752    1 	1
   3760.0  4    16   
   3768.20 11 	1   
   3768.6  2 	18  
   3800.7  6 	16  
   3804.9  5 	17   
   3941.2  15 	15  
   3944    1 	1
   4017.8  7 	17  
   4105.6  7 	18   
   4121.2  5    18  
   4167.9  15 	16  
   4344.4  6 	18   
   4345.7  4 	20  
   4364.3  8 	18  
   4384.9  5 	19   
   4411.6  16 	17  
   4590.0  8 	19  
   4671.7  16 	18  
   4702.0  8 	20   
   4868.4  6    20  
   4946.7  17 	19  
   4987.3  12 	20   
   5000.1  6 	22  
   5018.2  7 	21   
   5230.5  9 	21  
   5236.6  18 	20  
   5349.9  9 	22   
   5539.9  18 	21  
   5651.5  8 	22  
   5678    2 	22   
   5704.1  11 	23   
   5729.1  8    24  
   5856.2  19 	22  
   6052.9  13 	24   
   6185.0  19 	23  
   6442.1  15 	25   
   6525.2  20 	24  	
   6529.1  13 	26  
   6814.9  17 	26   
   6876.9  20 	25  
   7238.1  18 	27   
   7239.5  21 	26  
   7399.1  16 	28  
   7613.1  21 	27  
   7640.9  20 	28   
   7997.8  22 	28  
   8095.1  21 	29   
   8338.1  19 	30  
   8395.1  22 	29  
   8533.9  22 	30   
   8802.4  23 	30  
   9016.1  23 	31   
   9224.1  24 	31  
   9342.1  22 	32  
   9491.9  24 	32   
   9657.4  25 	32  
  10001.1  25 	33   
  10410.1  24 	34  
  10515    3 	34   
  11049    3 	35   
  11549    3 	36  
